"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-9.446666663E-4,-2.235451355E0,6.965614929E0,5.623505859E0,9.227180081E0
9.077333336E-3,-2.485431519E0,6.849905548E0,5.067112885E0,8.875483583E0
1.910033333E-2,-2.370470581E0,6.450685730E0,5.344336395E0,8.705883566E0
2.912333333E-2,-2.484982452E0,6.256838837E0,5.458698578E0,8.667211788E0
3.914533334E-2,-2.457439728E0,6.089935913E0,5.510490875E0,8.572738135E0
4.916833333E-2,-2.849175110E0,5.604345703E0,6.194119263E0,8.825735267E0
5.919133333E-2,-3.040177917E0,5.177882538E0,7.062164154E0,9.269698586E0
6.921333334E-2,-2.973865814E0,4.857548676E0,7.734116821E0,9.605010152E0
7.923633333E-2,-3.258573761E0,4.812791748E0,8.216862946E0,1.006469592E1
8.925933333E-2,-3.391647034E0,4.961732025E0,8.197852478E0,1.016498104E1
9.928133334E-2,-3.178789673E0,5.217400360E0,8.102351074E0,1.014761367E1
1.093043333E-1,-2.808459778E0,5.448669434E0,8.077353058E0,1.013997423E1
1.193273333E-1,-2.544259186E0,5.577252045E0,8.265511780E0,1.029065985E1
1.293493333E-1,-2.232607269E0,5.581443329E0,8.806486816E0,1.066261014E1
1.393723333E-1,-1.848955078E0,5.367837524E0,9.257049866E0,1.085934099E1
1.493953333E-1,-1.764979706E0,5.272785187E0,9.382189636E0,1.090609460E1
1.594173333E-1,-1.697170715E0,5.520819397E0,9.033863983E0,1.072243133E1
1.694403333E-1,-1.646426239E0,5.844446411E0,8.425529022E0,1.038546159E1
1.794633333E-1,-1.904040527E0,6.033952332E0,7.780370636E0,1.002836568E1
1.894863333E-1,-2.256557465E0,5.954617310E0,7.147486725E0,9.572673889E0
1.995083333E-1,-2.380799103E0,5.503754883E0,6.543792114E0,8.875851363E0
2.095313333E-1,-2.182012482E0,4.616549835E0,5.548511810E0,7.540536729E0
2.195543333E-1,-1.885928192E0,4.657414856E0,5.195545807E0,7.227858225E0
2.295763333E-1,-2.396666107E0,5.391638031E0,6.421795807E0,8.720850330E0
2.395993333E-1,-2.040556641E0,5.749843140E0,7.478149109E0,9.651283937E0
2.496223333E-1,-1.608704681E0,5.946384430E0,8.653355255E0,1.062205139E1
2.596443333E-1,-1.227447510E0,6.005062408E0,9.718989258E0,1.149026345E1
2.696673333E-1,-9.810598755E-1,5.847739563E0,1.032118698E1,1.190316921E1
2.796903333E-1,-1.134191437E0,5.739963684E0,1.043719574E1,1.196530937E1
2.897123333E-1,-1.283580780E0,5.555846558E0,9.875713348E0,1.140371539E1
2.997353333E-1,-9.830058289E-1,5.058131561E0,7.769892426E0,9.323208871E0
3.097583333E-1,-8.735833740E-1,4.950205994E0,6.387666779E0,8.128343876E0
3.197803333E-1,-1.036444702E0,4.864733734E0,5.904770966E0,7.720503357E0
3.298033333E-1,-1.410367126E0,4.688699799E0,5.683980103E0,7.502044457E0
3.398263333E-1,-2.071991272E0,4.337979126E0,6.220464478E0,7.861640353E0
3.498483333E-1,-3.045417023E0,3.943549347E0,7.481142883E0,8.988528530E0
3.598713333E-1,-4.151466980E0,3.827839966E0,1.095511871E1,1.232483927E1
3.698943333E-1,-3.699706421E0,4.408781891E0,1.438628357E1,1.549484883E1
3.799163333E-1,-1.519340515E0,5.043013000E0,1.490106308E1,1.580449482E1
3.899393333E-1,-1.319955139E0,4.328399048E0,1.607117981E1,1.669611153E1
3.999623333E-1,-1.284179535E0,3.033292236E0,1.664254166E1,1.696538157E1
4.099843333E-1,-1.440903625E0,2.117945709E0,1.519400391E1,1.540842795E1
4.200073333E-1,-1.745370483E0,1.091380463E0,1.204290665E1,1.221757054E1
4.300303333E-1,-2.210902405E0,5.258564758E-1,9.510023804E0,9.777789486E0
4.400523333E-1,-2.233655090E0,3.782633972E-1,7.048542480E0,7.403664590E0
4.500753333E-1,-2.516417084E0,-1.794767761E-1,4.959486694E0,5.564267708E0
4.600983333E-1,-2.851270752E0,-5.748046875E-1,4.361031189E0,5.242016631E0
4.701213333E-1,-3.134032745E0,-4.320016479E-1,4.827760620E0,5.772006521E0
4.801433333E-1,-3.177143097E0,-5.562432861E-1,5.118755493E0,6.050231620E0
