"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.685108334E-2,4.051923981E0,5.044659576E0,7.697892151E0,1.005605399E1
2.687408333E-2,2.848276978E0,5.715714111E0,8.731343079E0,1.081750533E1
3.689708334E-2,2.602787476E0,5.373525696E0,9.812095642E0,1.148592626E1
4.692008334E-2,2.785557404E0,4.358785858E0,1.075139236E1,1.193108469E1
5.694308333E-2,2.785108337E0,4.125271454E0,1.092772568E1,1.200790912E1
6.696608334E-2,3.057092743E0,4.356540527E0,1.015293686E1,1.146330617E1
7.698908334E-2,3.392694855E0,4.247267761E0,9.118737488E0,1.061607438E1
8.701208334E-2,3.756438446E0,3.968397675E0,8.689579926E0,1.026488233E1
9.703508334E-2,3.831432495E0,3.943100281E0,9.091793518E0,1.062490584E1
1.070580833E-1,3.538791046E0,4.253255310E0,9.833800507E0,1.128347709E1
1.170810833E-1,3.214565277E0,4.594545593E0,1.027029282E1,1.170137572E1
1.271040833E-1,3.012635193E0,4.663851471E0,1.046863037E1,1.184988199E1
1.371270833E-1,3.001109161E0,4.692142639E0,1.052880524E1,1.191128030E1
1.471500833E-1,3.264561310E0,4.634213104E0,1.042851379E1,1.186959105E1
1.571730833E-1,3.554208984E0,4.459526367E0,1.012269974E1,1.161846922E1
1.671960833E-1,3.893852692E0,4.375700684E0,9.781259766E0,1.140095995E1
1.772200833E-1,4.135150909E0,4.354594574E0,9.453890533E0,1.119991130E1
1.872420833E-1,4.207151184E0,4.306993561E0,9.198521576E0,1.099377614E1
1.972660833E-1,4.161047058E0,4.205354919E0,8.985963593E0,1.075857167E1
2.072890833E-1,4.107608185E0,4.035158844E0,8.569379883E0,1.032420571E1
2.173120833E-1,3.932771759E0,3.849095764E0,7.913443909E0,9.638714977E0
2.273350833E-1,3.635040894E0,3.770359497E0,7.252568207E0,8.945886129E0
2.373580833E-1,3.472928009E0,3.782184906E0,6.757547607E0,8.487084381E0
2.473810833E-1,3.416345673E0,3.911815338E0,6.367159424E0,8.216716870E0
2.574040833E-1,3.256178741E0,4.045337677E0,5.954018555E0,7.900493267E0
2.674270833E-1,3.107238464E0,4.136797485E0,5.580694885E0,7.610005237E0
2.774500833E-1,3.159629517E0,4.197122040E0,5.474565582E0,7.587487095E0
2.874730833E-1,3.359164581E0,4.177662506E0,5.742658081E0,7.855887762E0
2.974960833E-1,3.696413269E0,4.042643280E0,6.304739227E0,8.352016072E0
3.075190833E-1,3.900888062E0,3.860322418E0,6.716682587E0,8.673686749E0
3.175420833E-1,3.928430786E0,3.663481750E0,7.060367889E0,8.871440791E0
3.275650833E-1,3.795058136E0,3.518882446E0,7.238796844E0,8.898605491E0
3.375880833E-1,3.603905640E0,3.163671112E0,7.246730347E0,8.689767056E0
3.476110833E-1,3.706442413E0,3.133733368E0,7.543862457E0,8.970388005E0
3.576340833E-1,4.000281372E0,3.129991150E0,7.663613434E0,9.194023413E0
3.676570833E-1,4.487368469E0,2.695893860E0,8.139773254E0,9.677821455E0
3.776800833E-1,4.904401245E0,2.442470856E0,8.127498779E0,9.801788197E0
3.877030833E-1,5.037324829E0,2.262245636E0,7.952961731E0,9.682045086E0
3.977260833E-1,4.173620911E0,1.837578735E0,8.269104309E0,9.443192955E0
4.077490833E-1,3.531905365E0,1.711989899E0,8.986861725E0,9.806576802E0
4.177720833E-1,2.583477631E0,1.443897400E0,9.443112946E0,9.896038524E0
4.277950833E-1,1.976040802E0,8.981323242E-1,9.216633911E0,9.468776034E0
4.378180833E-1,2.504441986E0,3.987707520E-1,9.313632202E0,9.652719439E0
4.478410833E-1,2.896626434E0,7.738906860E-2,9.195976868E0,9.641702356E0
4.578640833E-1,2.889441376E0,1.199006653E-1,8.591384125E0,9.065049852E0
4.678870833E-1,2.907404022E0,4.323010254E-1,8.132588196E0,8.647477845E0
4.779100833E-1,2.406994629E0,3.179388428E-1,7.726782074E0,8.099251167E0
4.879330833E-1,1.985770569E0,-1.148411865E0,7.340585175E0,7.690664813E0
4.979560833E-1,2.254012756E0,-1.582060089E0,8.794212341E0,9.215294805E0
5.079790833E-1,2.137704620E0,-1.212927704E0,1.224289078E1,1.248716738E1
5.180020833E-1,2.941533051E0,-3.278182983E-1,1.199560501E1,1.235534787E1
5.280250833E-1,2.353406067E0,-7.267387390E-1,5.536836090E0,6.059968911E0
5.380480833E-1,2.936593323E0,-9.297166443E-1,4.675676880E0,5.599098826E0
5.480710833E-1,4.675078125E0,-9.162446594E-1,6.453230438E0,8.021224522E0
5.580940833E-1,5.292693787E0,-1.527124329E0,8.245154114E0,9.916011426E0
5.681170833E-1,1.016371445E1,-4.470902710E0,2.001996826E1,2.289299438E1
5.781400833E-1,6.004463654E0,-3.266207886E-1,1.092024124E1,1.246643228E1
5.881630833E-1,1.058448944E0,4.192631378E0,4.893324280E0,6.530168034E0
5.981860833E-1,-1.968256989E0,1.728006592E0,5.422324219E0,6.021764051E0
6.082090833E-1,-4.770280151E0,-3.189866638E-1,3.652255096E0,6.016335471E0
6.182320833E-1,-6.453230438E0,-6.532415771E-1,3.832031250E0,7.533616074E0
6.282550833E-1,-6.581813049E0,8.397537231E-2,3.923491058E0,7.662969200E0
6.382780833E-1,-3.581751709E0,3.213367767E0,8.684640198E0,9.928627955E0
6.483010833E-1,2.510878601E0,8.240962830E0,1.987042923E1,2.165760692E1
6.583240833E-1,1.179846497E0,4.998705139E0,1.087308929E1,1.202510547E1
6.683470833E-1,-2.386786652E0,3.462300110E-1,3.927532654E0,4.608919449E0
6.783700833E-1,-3.098855896E0,-4.293072510E-1,2.624941406E0,4.083813165E0
6.883930833E-1,-9.138496399E-1,1.354682922E-1,2.074685669E0,2.271077596E0
6.984170833E-1,1.605411530E0,1.565594330E0,3.024460602E0,3.765075526E0
7.084400833E-1,1.876797180E0,2.653382263E0,1.957928467E0,3.794244190E0
7.184630833E-1,-3.271297302E0,1.052760773E0,3.466790771E0,4.881426998E0
7.284860833E-1,-6.225703583E0,-1.426533508E-1,5.082680511E0,8.038244601E0
7.385090833E-1,-7.533533936E0,8.023315430E-2,4.730013885E0,8.895706958E0
7.485320833E-1,-8.983269196E0,-2.936892700E-1,5.241949310E0,1.040497051E1
7.585550833E-1,-8.827892303E0,-5.742059326E-1,5.406606903E0,1.036787313E1
7.685780833E-1,-8.576415253E0,-8.993298340E-1,5.964496765E0,1.048517594E1
7.786010833E-1,-8.495134277E0,-1.525178375E0,5.358407135E0,1.015903551E1
7.886240833E-1,-8.377628632E0,-2.242337036E0,4.472998352E0,9.758096696E0
7.986470833E-1,-8.317154388E0,-2.300116882E0,3.623215485E0,9.359128445E0
8.086700833E-1,-8.863967285E0,-1.734742584E0,2.547851715E0,9.384604213E0
8.186930833E-1,-1.018242554E1,-1.046473846E0,1.746867371E0,1.038404752E1
8.287160833E-1,-1.162602356E1,1.197509766E-2,8.283773804E-1,1.165550412E1
8.387390833E-1,-1.230755630E1,8.370593262E-1,1.032253418E0,1.237910165E1
8.487620833E-1,-1.328906525E1,-1.035396881E0,1.849254456E0,1.345700724E1
8.587850833E-1,-1.351165237E1,-2.770139465E0,1.810335388E0,1.391099338E1
8.688080833E-1,-1.324535614E1,-2.925067291E0,2.269281006E0,1.375300383E1
8.788310833E-1,-1.224468704E1,-3.060086517E0,3.012186127E0,1.297573719E1
8.888540833E-1,-1.231534012E1,-3.309318237E0,2.819237366E0,1.306014122E1
8.988770833E-1,-1.389769958E1,-3.611839142E0,2.422711945E0,1.456231331E1
9.089000833E-1,-1.449720291E1,-2.865940247E0,2.675087128E0,1.501794250E1
9.189230833E-1,-1.525762161E1,-2.020947418E0,2.204914856E0,1.554801901E1
9.289460833E-1,-1.603465576E1,-1.724713440E0,1.835632782E0,1.623127751E1
9.389690833E-1,-1.651770126E1,-1.468296661E0,1.722917175E0,1.667209626E1
9.489920833E-1,-1.745475266E1,-1.349294128E0,1.376986542E0,1.756089624E1
9.590150833E-1,-1.796189804E1,-1.597328339E0,1.329086151E0,1.808169541E1
9.690380833E-1,-1.695958237E1,-1.521136780E0,1.528621216E0,1.709613915E1
9.790610833E-1,-1.588406891E1,-1.215771790E0,1.402583313E0,1.599215389E1
9.890840833E-1,-1.562001801E1,-1.465602264E0,1.269510040E0,1.573990496E1
9.991070833E-1,-1.571656723E1,-1.284029846E0,1.190025330E0,1.581377180E1
1.009130708E0,-1.635244492E1,-4.379891968E-1,3.333567810E-1,1.636170578E1
1.019153708E0,-1.660511948E1,8.009843445E-1,-2.024539948E0,1.674724845E1
1.029176708E0,-1.669762711E1,1.908531189E0,-3.856280823E0,1.724308975E1
1.039199708E0,-1.579440536E1,2.136656799E0,-3.586691437E0,1.633685706E1
1.049222708E0,-1.546928146E1,2.893333282E0,-4.691992950E0,1.642208404E1
1.059245708E0,-1.385189484E1,2.045795746E0,-3.121159515E0,1.434579756E1
1.069268708E0,-1.330583038E1,6.240522766E-1,-4.936734009E-1,1.332960153E1
1.079291708E0,-1.324849960E1,2.959346008E-1,5.710624695E-1,1.326410311E1
1.089314708E0,-1.160836029E1,-2.592608643E-1,5.376818848E-1,1.162369763E1
1.099337708E0,-1.055350388E1,-1.925296326E0,1.851649475E-1,1.072928218E1
1.109360708E0,-9.429940338E0,-3.438798981E0,1.722917175E-1,1.003886436E1
1.119384708E0,-7.729775848E0,-3.940405884E0,1.478026428E0,8.801181473E0
1.129407708E0,-5.600304108E0,-3.594924316E0,2.397564240E0,7.073556476E0
1.139430708E0,-4.476590881E0,-3.507506104E0,2.255359955E0,6.117933762E0
1.149453708E0,-3.710633698E0,-3.106490021E0,4.984634399E-1,4.864930471E0
1.159476708E0,-3.711531830E0,-3.398682404E0,1.005908203E-1,5.033550349E0
1.169499708E0,-5.113366699E0,-4.308191071E0,9.136999512E-1,6.748472190E0
1.179522708E0,-5.735922089E0,-4.183350677E0,1.062490540E0,7.178447690E0
1.189545708E0,-5.333409119E0,-3.143463135E0,8.936416626E-2,6.191494106E0
1.199568708E0,-5.808521118E0,-3.199746094E0,-2.064207458E-1,6.634749594E0
1.209591708E0,-5.388943634E0,-1.462009735E0,-2.684816895E0,6.195678148E0
1.219614708E0,-6.974446564E0,-8.479866028E-1,-3.253933411E0,7.742742976E0
1.229637708E0,-8.919501801E0,-1.236728210E0,-1.989213409E0,9.221929246E0
1.239660708E0,-9.069190521E0,-1.392554169E0,-1.439556427E0,9.287720201E0
1.249683708E0,-7.967930603E0,-1.721719666E0,-4.599934387E-1,8.164792139E0
1.259706708E0,-7.696844330E0,-1.268611908E0,2.896476746E-1,7.806067165E0
1.269729708E0,-7.962691498E0,-7.017407227E-1,-5.083428955E-1,8.009700895E0
1.279752708E0,-7.949369202E0,-9.226812744E-1,-8.714877319E-1,8.050049832E0
1.289775708E0,-8.445737000E0,-1.772464142E0,-1.144070892E0,8.705228360E0
1.299798708E0,-8.436007233E0,-1.106049957E0,1.348845062E0,8.614461535E0
1.309821708E0,-8.114176483E0,-1.356179810E-1,2.031425629E0,8.365700349E0
1.319844708E0,-8.682993622E0,-4.083508301E-1,6.744973755E-1,8.718719823E0
1.329867708E0,-9.447753296E0,-2.407294006E0,-6.698570251E-1,9.772605344E0
1.339890708E0,-8.953032074E0,-4.202810211E0,-6.912625122E-1,9.914546931E0
1.349913708E0,-8.628955994E0,-3.847000122E0,-1.723815308E0,9.603636327E0
1.359936708E0,-9.986483002E0,-3.423830109E0,-3.015030212E0,1.097920136E1
1.369959708E0,-1.129386429E1,-3.889212341E0,-3.213367767E0,1.236944120E1
1.379982708E0,-1.163754959E1,-3.970792694E0,-3.108885040E0,1.268325358E1
1.390005708E0,-1.169323380E1,-4.373006287E0,-1.818418579E0,1.261592433E1
1.400028708E0,-1.135583542E1,-5.016518097E0,-1.660197601E0,1.252504323E1
1.410051708E0,-1.082967957E1,-4.670138397E0,-2.363285522E0,1.202818651E1
1.420074708E0,-1.059571609E1,-3.580703888E0,-2.397264862E0,1.143842291E1
1.430097708E0,-1.010668304E1,-2.673739929E0,-1.956581268E0,1.063588913E1
1.440120708E0,-1.008393036E1,-2.209405518E0,-2.059716797E-1,1.032519000E1
1.450143708E0,-1.070079758E1,-2.489922180E0,7.779322815E-1,1.101417087E1
1.460166708E0,-1.047865952E1,-3.887116699E0,1.244512024E0,1.124547872E1
1.470190708E0,-9.900411987E0,-5.138065338E0,1.736987915E0,1.128871117E1
1.480213708E0,-1.018347336E1,-5.359305267E0,1.854792938E0,1.165613741E1
1.490236708E0,-1.040261765E1,-4.786745911E0,1.494492188E0,1.154819887E1
1.500259708E0,-1.046563660E1,-3.326831818E0,2.031725006E0,1.116804664E1
1.510282708E0,-1.258687546E1,-3.859124908E0,2.398162994E0,1.338183338E1
1.520305708E0,-1.285152512E1,-4.574636993E0,2.711162109E0,1.390824940E1
