"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.091912505E-2,-7.490423584E-1,4.968318329E0,7.782017212E0,9.263101174E0
2.093712497E-2,-7.768844604E-1,4.788392487E0,7.728877716E0,9.125119332E0
3.095512500E-2,-9.199868774E-1,4.607718201E0,7.729925537E0,9.045948910E0
4.097312503E-2,-1.113384705E0,4.468507690E0,7.952961731E0,9.190037365E0
5.099112506E-2,-1.437460785E0,4.425547028E0,8.498128052E0,9.688650081E0
6.100912497E-2,-1.585951996E0,4.462220764E0,9.013955383E0,1.018224187E1
7.102712500E-2,-1.549427948E0,4.503235474E0,9.235195312E0,1.039079829E1
8.104512503E-2,-1.484313354E0,4.451143799E0,9.338630219E0,1.045111868E1
9.106312506E-2,-1.404229889E0,4.389322357E0,9.540111237E0,1.059489192E1
1.010811250E-1,-1.250200195E0,4.345463562E0,9.784552917E0,1.077884641E1
1.110991250E-1,-1.209634552E0,4.309687958E0,9.837842102E0,1.080831917E1
1.211171250E-1,-1.298250275E0,4.265230408E0,9.696386261E0,1.067227955E1
1.311351251E-1,-1.395098877E0,4.344116364E0,9.507329407E0,1.054547108E1
1.411531250E-1,-1.468895416E0,4.409081268E0,9.306746521E0,1.040255652E1
1.511721250E-1,-1.558259583E0,4.362677765E0,9.042246552E0,1.015988941E1
1.611901250E-1,-1.659149780E0,4.238585815E0,8.875193939E0,9.974339836E0
1.712081250E-1,-1.673070831E0,4.157454529E0,8.972790985E0,1.002968455E1
1.812261250E-1,-1.598076782E0,4.123475189E0,9.321416016E0,1.031725223E1
1.912441250E-1,-1.595981140E0,4.103566589E0,9.744136963E0,1.069273677E1
2.012621250E-1,-1.615889740E0,4.027524719E0,1.020622604E1,1.109049616E1
2.112801250E-1,-1.590143280E0,3.880380707E0,1.067041077E1,1.146488447E1
2.212981250E-1,-1.676813049E0,3.614084473E0,1.095676529E1,1.165864547E1
2.313161250E-1,-1.879042511E0,3.349883881E0,1.111079498E1,1.175594692E1
2.413341251E-1,-2.093247070E0,3.172053680E0,1.120045853E1,1.182767429E1
2.513521250E-1,-2.142045593E0,3.096610565E0,1.131721573E1,1.192714250E1
2.613701250E-1,-2.162852325E0,3.054398346E0,1.144145737E1,1.203803249E1
2.713881250E-1,-2.278711395E0,3.014281769E0,1.154653885E1,1.214911435E1
2.814061251E-1,-2.330354004E0,2.946323090E0,1.156045990E1,1.215547624E1
2.914241250E-1,-2.280357971E0,2.878663788E0,1.132844238E1,1.190883472E1
3.014421250E-1,-2.112556915E0,2.825973358E0,1.086994583E1,1.142824328E1
3.114601250E-1,-1.845512238E0,2.715203705E0,1.029783554E1,1.080849959E1
3.214791251E-1,-1.694476318E0,2.723286896E0,9.571096802E0,1.009422783E1
3.314971250E-1,-1.680106201E0,2.854563904E0,8.693621521E0,9.303243901E0
3.415151250E-1,-1.653760986E0,2.725981293E0,8.180488586E0,8.779880006E0
3.515331250E-1,-1.454974365E0,2.569855957E0,7.435936890E0,8.000891667E0
3.615511251E-1,-1.208736420E0,2.284998322E0,6.899602203E0,7.367955729E0
3.715691250E-1,-1.597627716E0,1.872755585E0,7.104975128E0,7.519328386E0
3.815871250E-1,-1.725461884E0,2.315385132E0,7.003785553E0,7.575700568E0
3.916051250E-1,-1.758094025E0,2.592608643E0,6.716233521E0,7.410823630E0
4.016231251E-1,-1.589095459E0,2.484982452E0,6.782695313E0,7.396304339E0
4.116411250E-1,-1.450483704E0,2.303260345E0,7.443271637E0,7.925351970E0
4.216591250E-1,-1.332528992E0,1.960772552E0,8.176446991E0,8.513198454E0
4.316771250E-1,-1.348096619E0,1.687890015E0,8.576115875E0,8.843986697E0
4.416951250E-1,-1.567390594E0,1.462758179E0,9.080417175E0,9.330077751E0
4.517131250E-1,-2.004930725E0,8.261320496E-1,8.946595459E0,9.205640210E0
4.617311250E-1,-2.369273071E0,5.764512634E-1,8.262817383E0,8.615097332E0
4.717491250E-1,-2.510279846E0,3.697311401E-1,7.680977325E0,8.089228560E0
4.817671250E-1,-2.338437195E0,-1.529818726E-1,8.183931427E0,8.512838867E0
4.917861250E-1,-1.886526947E0,-7.240443420E-1,8.435857544E0,8.674498062E0
5.018041250E-1,-1.413360901E0,-6.598278809E-1,8.391998749E0,8.535725210E0
5.118221251E-1,-8.310717773E-1,7.110214233E-2,8.328979797E0,8.370641569E0
5.218401250E-1,-4.147874451E-1,9.400451660E-2,7.252568207E0,7.265027947E0
5.318581250E-1,-5.598358154E-2,-7.394622803E-2,6.646777954E0,6.647425019E0
5.418761250E-1,-6.671626282E-1,-1.266366577E-1,6.568191376E0,6.603202311E0
5.518941251E-1,-1.208137665E0,-5.818400574E-1,7.358996887E0,7.480171766E0
5.619121250E-1,-8.393046570E-1,-1.095422058E0,8.233179016E0,8.348030816E0
5.719301250E-1,-1.156794434E0,-7.894583130E-1,9.087751923E0,9.195034138E0
5.819481250E-1,-1.833237762E0,-4.921765137E-1,1.024649231E1,1.042082545E1
5.919661251E-1,-2.018552399E0,-7.499404907E-1,1.199246155E1,1.218425617E1
6.019841250E-1,-1.157093811E0,2.727328491E-1,9.540410614E0,9.614191801E0
6.120021250E-1,3.453318787E-1,4.846920776E-1,9.331295471E0,9.350254311E0
6.220201250E-1,1.361269226E0,-2.503094788E0,6.787335663E0,7.361145483E0
6.320381251E-1,1.421893158E0,-2.906954956E0,3.556604004E0,4.808492415E0
6.420561250E-1,1.578317871E0,-2.011816406E0,3.542682953E0,4.369106895E0
6.520741250E-1,2.004182281E0,-4.673281860E-1,5.434748383E0,5.811336527E0
6.620931251E-1,1.528920593E0,1.975292358E0,1.062430664E1,1.091399421E1
6.721111250E-1,-5.653742981E-1,4.727918243E0,9.667646027E0,1.077665248E1
6.821291250E-1,2.349963226E0,2.844235382E0,8.765921173E0,9.510697981E0
6.921471250E-1,-3.424877930E-1,5.557942200E-1,7.644453278E0,7.672279389E0
7.021651251E-1,1.016536102E0,1.425485687E0,9.036259003E0,9.204310504E0
7.121831250E-1,4.446952515E0,1.378483429E0,9.284293213E0,1.038622663E1
7.222011250E-1,4.091890869E0,-1.883084106E-1,7.616611176E0,8.648225063E0
7.322191250E-1,3.231480103E0,-8.220904541E-1,6.315965881E0,7.142109029E0
7.422371251E-1,3.502117310E0,-1.532812500E0,5.907615051E0,7.036636654E0
7.522551250E-1,3.795357513E0,-2.964585114E0,6.483916626E0,8.076798769E0
7.622731250E-1,3.842958527E0,-4.517904968E0,6.224805450E0,8.598139243E0
7.722911250E-1,3.881278839E0,-5.434598694E0,5.013224945E0,8.350545655E0
7.823091251E-1,4.401447144E0,-4.494703217E0,3.966302032E0,7.436843805E0
7.923271250E-1,5.207071838E0,-2.576142883E0,3.844455414E0,6.966343856E0
8.023451250E-1,6.227050781E0,-1.615590363E0,5.753884735E0,8.630960734E0
8.123631250E-1,7.019951935E0,-1.891466675E0,7.931107178E0,1.075917434E1
8.223811251E-1,7.877967682E0,-3.562292175E0,5.807922363E0,1.041557788E1
8.324001250E-1,8.511001282E0,-3.722459106E0,7.786956940E0,1.212149096E1
8.424181250E-1,7.905510406E0,-3.733236694E0,8.713380432E0,1.234330383E1
8.524361250E-1,7.527396698E0,-4.217479706E0,9.068442078E0,1.251740699E1
8.624541250E-1,7.060517578E0,-4.878505096E0,8.298592987E0,1.193806375E1
8.724721250E-1,7.309749298E0,-5.532944183E0,6.636150055E0,1.131743759E1
8.824901250E-1,7.969128113E0,-5.951174469E0,5.891748047E0,1.156011140E1
8.925081250E-1,8.361611938E0,-6.003565521E0,5.623206482E0,1.172944177E1
9.025261250E-1,8.913663940E0,-5.775140533E0,5.379513245E0,1.190566318E1
9.125441250E-1,9.542955322E0,-5.411247253E0,6.029910736E0,1.251836318E1
9.225618750E-1,9.803862762E0,-4.800367584E0,6.694678345E0,1.280538840E1
9.325798750E-1,1.085557571E1,-4.637057190E0,8.845854950E0,1.475110075E1
9.425978750E-1,1.166628983E1,-5.885760498E0,1.034753220E1,1.666781082E1
9.526158751E-1,1.192285629E1,-7.471712494E0,1.218885315E1,1.861583011E1
9.626338750E-1,1.279329620E1,-7.950267334E0,1.419183792E1,2.069501008E1
9.726518750E-1,1.397374146E1,-8.329279175E0,1.405786652E1,2.150037099E1
9.826708750E-1,1.444196777E1,-9.181307373E0,1.437999664E1,2.235287771E1
9.926888751E-1,1.455333618E1,-8.982371063E0,1.544233749E1,2.304231697E1
1.002706875E0,1.488025635E1,-6.860533447E0,1.472023911E1,2.202667445E1
1.012724875E0,1.536345154E1,-4.442761230E0,1.408600800E1,2.131171959E1
1.022742875E0,1.435904022E1,-2.230062561E0,1.357452164E1,1.988524209E1
1.032760875E0,1.427296921E1,-4.984634399E-1,1.320015015E1,1.944762401E1
1.042778875E0,1.502425690E1,-1.759890289E0,1.393033173E1,2.056403781E1
1.052796875E0,1.585323303E1,-1.087638245E0,1.387315063E1,2.109436567E1
1.062814875E0,1.594439346E1,-1.613195343E0,1.456965225E1,2.165873609E1
1.072832875E0,1.521705597E1,-1.607507172E0,1.420860306E1,2.088126607E1
1.082850875E0,1.455423431E1,-1.409768372E0,1.249047592E1,1.923083909E1
1.092868875E0,1.420336395E1,4.626878357E-1,1.008931915E1,1.742825260E1
1.102886875E0,1.316916458E1,4.370910645E-1,9.916428680E0,1.649101277E1
1.112904875E0,1.303085220E1,-9.113049316E-1,1.030352371E1,1.663719287E1
1.122922875E0,1.254885452E1,-8.412506104E-1,9.049132233E0,1.549413588E1
1.132940875E0,1.160461807E1,-9.650431824E-1,9.000184021E0,1.471739723E1
1.142958875E0,1.138502472E1,-2.207459564E0,9.297914886E0,1.486414770E1
1.152977875E0,1.123428818E1,-3.032693481E0,9.709259491E0,1.515507111E1
1.162995875E0,1.112142288E1,-3.031495972E0,1.045635590E1,1.556314214E1
1.173013875E0,1.092907288E1,-1.846110992E0,9.876761169E0,1.484598164E1
1.183031875E0,1.053883438E1,6.801855469E-1,7.655679932E0,1.304373864E1
1.193049875E0,1.023092468E1,2.795586548E0,6.375092926E0,1.237452762E1
1.203067875E0,1.040965302E1,3.440146179E0,6.617438965E0,1.280570108E1
1.213085875E0,1.022508682E1,1.891017609E0,5.665119324E0,1.184153390E1
1.223103875E0,9.465416565E0,-1.849104767E0,4.842130737E0,1.079164164E1
1.233121875E0,8.286767578E0,-4.773124237E0,5.165907440E0,1.086921485E1
1.243139875E0,6.623875580E0,-9.389225006E0,6.499783630E0,1.320153253E1
1.253157875E0,5.253924408E0,-1.221968903E1,8.548124084E0,1.581122851E1
1.263175875E0,4.034560089E0,-9.883347473E0,7.511380005E0,1.305293308E1
1.273193875E0,2.685565338E0,-8.991951141E0,7.381450195E0,1.193956672E1
1.283211875E0,2.724334717E0,-7.877219238E0,6.395300903E0,1.050582963E1
1.293229875E0,1.342857513E0,-6.812782745E0,7.319479065E0,1.008920457E1
1.303247875E0,2.210902405E-1,-6.245312805E0,7.965984650E0,1.012470861E1
1.313266875E0,3.778143311E-1,-5.641618195E0,5.764512634E0,8.074664416E0
1.323284875E0,7.051835632E-1,-4.582869873E0,2.694247284E0,5.362737040E0
1.333302875E0,5.662724304E-1,-5.888305206E0,5.722300415E0,8.230280962E0
1.343320875E0,7.831713867E-1,-5.541476440E0,4.498744812E0,7.180530861E0
1.353338875E0,5.542973328E-1,-4.542304230E0,-2.785707092E-1,4.584471059E0
1.363356875E0,-1.797761536E-1,-3.945046234E0,-1.531315613E0,4.235638885E0
1.373374875E0,3.754193115E-1,-3.685036926E0,-1.410965881E0,3.963743373E0
1.383392875E0,1.245410156E0,-4.212090912E0,-2.805166626E-1,4.401300479E0
1.393410875E0,2.554587708E0,-4.253704376E0,-1.335373077E0,5.138398635E0
1.403428875E0,3.697461090E0,-3.490591278E0,-2.317630463E0,5.588099583E0
1.413446875E0,4.464166718E0,-5.182971954E0,-7.086264038E-1,6.877073080E0
1.423464875E0,5.129233704E0,-8.159532166E0,-4.340972900E-3,9.637791365E0
1.433482875E0,5.024601288E0,-9.048234100E0,1.484762421E0,1.045570074E1
1.443500875E0,4.337829437E0,-9.808652802E0,4.131109314E0,1.149315005E1
1.453518875E0,5.250331879E0,-9.788893890E0,5.442981262E0,1.236990192E1
1.463536875E0,5.638325043E0,-8.503666534E0,6.113137665E0,1.189426357E1
1.473555875E0,6.462810516E0,-7.346423035E0,7.029382324E0,1.204782416E1
1.483573875E0,6.448440399E0,-6.837780762E0,7.394024048E0,1.195864628E1
1.493591875E0,5.775439911E0,-7.371271362E0,6.997648315E0,1.169009964E1
1.503609875E0,5.555547180E0,-8.612340546E0,7.560178528E0,1.273549424E1
1.513627875E0,5.710624695E0,-1.006836273E1,8.379724274E0,1.428995946E1
1.523645875E0,5.607638855E0,-8.823102264E0,7.626041565E0,1.294021859E1
1.533663875E0,5.139562225E0,-8.275391235E0,7.684270477E0,1.240746601E1
1.543681875E0,3.974085846E0,-8.164471893E0,6.566844177E0,1.120604310E1
1.553699875E0,2.637515259E0,-8.202642517E0,7.074738007E0,1.114862094E1
1.563717875E0,1.137035522E0,-7.586523743E0,7.899223480E0,1.101117268E1
1.573735875E0,4.914280701E-1,-6.319558411E0,6.903494110E0,9.372115609E0
1.583753875E0,2.062710571E-1,-5.921236725E0,7.302863617E0,9.404010267E0
1.593771875E0,-2.734812927E-1,-5.925877075E0,7.607480164E0,9.646997749E0
1.603789875E0,-5.852828979E-1,-5.889353027E0,8.189769287E0,1.010442260E1
1.613807875E0,-7.782316589E-1,-5.594915314E0,8.239465942E0,9.989870915E0
1.623825875E0,-8.158035278E-1,-4.967569885E0,7.526199188E0,9.054609886E0
