"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.117833424E-3,-1.760938110E0,4.225862274E0,7.616311798E0,8.886338976E0
1.114983344E-2,-2.019749908E0,4.158652039E0,8.265511780E0,9.470610405E0
2.118183346E-2,-1.797013092E0,4.103117523E0,9.334738312E0,1.035384802E1
3.121283348E-2,-1.397493896E0,3.941304016E0,9.881401520E0,1.072981652E1
4.124483350E-2,-1.050066376E0,3.819756775E0,9.865085449E0,1.063076160E1
5.127683352E-2,-1.004411316E0,3.831282806E0,9.665550385E0,1.044559401E1
6.130883330E-2,-1.087488556E0,3.812122650E0,9.376501465E0,1.018006337E1
7.134083332E-2,-1.249751129E0,3.694167938E0,9.084309082E0,9.886021755E0
8.137283335E-2,-1.548529816E0,3.600911865E0,8.853489075E0,9.682395347E0
9.140483337E-2,-1.795366516E0,3.537144470E0,8.686137085E0,9.549016148E0
1.014368334E-1,-1.992805939E0,3.442241821E0,8.574319611E0,9.451944829E0
1.114688334E-1,-2.086211700E0,3.394042053E0,8.637937317E0,9.512400423E0
1.214998334E-1,-2.001487885E0,3.367846527E0,8.760981445E0,9.597038078E0
1.315318334E-1,-1.926044769E0,3.296894073E0,8.699160004E0,9.500239142E0
1.415638335E-1,-2.003284149E0,3.275937653E0,8.533753967E0,9.357877519E0
1.515958335E-1,-2.066153412E0,3.259471893E0,8.433462524E0,9.274504682E0
1.616278335E-1,-2.026934967E0,3.223995667E0,8.389304352E0,9.213199277E0
1.716598335E-1,-1.929936676E0,3.193758545E0,8.442144470E0,9.230089516E0
1.816918333E-1,-1.837279358E0,3.235671387E0,8.497978363E0,9.276896088E0
1.917238333E-1,-1.697021027E0,3.342399445E0,8.741521912E0,9.511346894E0
2.017558333E-1,-1.490151215E0,3.418890381E0,8.996142426E0,9.738580010E0
2.117868334E-1,-1.253193970E0,3.460952911E0,9.152267761E0,9.864719730E0
2.218188334E-1,-1.099014587E0,3.505260773E0,9.088051300E0,9.802416160E0
2.318508334E-1,-1.110241241E0,3.541485443E0,8.935668182E0,9.675790439E0
2.418828334E-1,-1.220262451E0,3.563040619E0,8.804989929E0,9.576645893E0
2.519148334E-1,-1.275647278E0,3.564088440E0,8.772956543E0,9.554829611E0
2.619468335E-1,-1.249002686E0,3.563489685E0,8.811127167E0,9.586158166E0
2.719788335E-1,-1.280587006E0,3.560645599E0,8.845555573E0,9.620912303E0
2.820108335E-1,-1.349144440E0,3.520529022E0,9.040001221E0,9.794689244E0
2.920418335E-1,-1.196761322E0,3.411555634E0,9.432035980E0,1.010120053E1
3.020738333E-1,-1.009500732E0,3.226091309E0,9.655371552E0,1.023000277E1
3.121058333E-1,-1.007554779E0,3.110980682E0,9.643396454E0,1.018275319E1
3.221378333E-1,-1.127156067E0,3.110381927E0,9.533225555E0,1.009095367E1
3.321698334E-1,-1.242117004E0,3.160078583E0,9.404642944E0,9.998812940E0
