"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.573016657E-2,4.896617432E0,7.045099640E0,5.752387848E0,1.032958165E1
2.576116659E-2,5.659431152E0,6.661297760E0,6.860832825E0,1.111184395E1
3.579316661E-2,5.955216064E0,5.955814819E0,7.895780640E0,1.154468191E1
4.582416662E-2,5.576204224E0,5.518274689E0,8.382268982E0,1.148075966E1
5.585616664E-2,5.111570435E0,5.477858734E0,8.513545990E0,1.134087977E1
6.588716665E-2,4.460424500E0,5.731132050E0,8.529862061E0,1.120266968E1
7.591916667E-2,3.359314270E0,6.056705017E0,8.481662292E0,1.095021750E1
8.595016669E-2,2.292183380E0,6.187233582E0,8.017178192E0,1.038321290E1
9.598116647E-2,2.119292908E0,6.148913269E0,7.251370697E0,9.740786098E0
1.060131665E-1,2.771187286E0,6.073619843E0,6.614594879E0,9.397936070E0
1.160441665E-1,3.617078247E0,5.979166260E0,6.355932770E0,9.446246111E0
1.260761665E-1,4.105811920E0,5.856720886E0,6.365213470E0,9.574696527E0
1.361071665E-1,4.106111298E0,5.647605743E0,6.551875305E0,9.575106821E0
1.461391666E-1,3.940256195E0,5.345833282E0,6.925198975E0,9.594890995E0
1.561701666E-1,3.612138519E0,4.935237122E0,7.150630188E0,9.409336970E0
1.662011666E-1,3.510200500E0,4.806055756E0,7.307953033E0,9.424747053E0
1.762331666E-1,3.468437347E0,4.980592804E0,7.657775574E0,9.771278783E0
1.862641666E-1,3.118465118E0,5.276078339E0,8.143365784E0,1.019196907E1
1.962965832E-1,2.675685883E0,5.379513245E0,8.451425171E0,1.036942839E1
2.063275832E-1,2.393522644E0,5.332211609E0,8.692124634E0,1.047446714E1
2.163595832E-1,2.314636688E0,5.229974213E0,8.828041992E0,1.051876888E1
2.263905832E-1,2.373464355E0,5.133275299E0,8.707841949E0,1.038317677E1
2.364215832E-1,2.411485291E0,4.986430664E0,8.313861237E0,9.989997034E0
2.464535832E-1,2.548001404E0,4.919220428E0,7.892637177E0,9.642860695E0
2.564845833E-1,2.765499115E0,4.919519806E0,7.588619385E0,9.457103396E0
2.665165833E-1,2.857857056E0,5.048102417E0,7.407496033E0,9.408596199E0
2.765475833E-1,2.840792542E0,5.198090515E0,7.319029999E0,9.415861479E0
2.865785833E-1,2.748883667E0,5.307812347E0,7.295229492E0,9.431309913E0
2.966105833E-1,2.551444244E0,5.417534180E0,7.383545837E0,9.506644700E0
3.066415833E-1,2.518512726E0,5.446573792E0,7.509134674E0,9.612240944E0
3.166735834E-1,2.523751831E0,5.276377716E0,7.517217865E0,9.524602330E0
3.267045831E-1,2.426154785E0,5.162913666E0,7.483238525E0,9.409610161E0
3.367365832E-1,2.368824005E0,5.175637207E0,7.579638062E0,9.478895548E0
3.467675832E-1,2.334994354E0,5.157225494E0,7.707023163E0,9.562812320E0
3.567985832E-1,2.415227509E0,5.085823975E0,7.803422699E0,9.622491114E0
3.668305832E-1,2.576442261E0,5.049150238E0,7.921377411E0,9.740646433E0
3.768615832E-1,2.617307281E0,5.125641174E0,8.028105469E0,9.877903233E0
3.868935832E-1,2.487078094E0,5.267995148E0,8.174800415E0,1.003816179E1
3.969245832E-1,2.318378906E0,5.351820831E0,8.357720032E0,1.019158236E1
4.069565833E-1,2.118993530E0,5.354515228E0,8.495283966E0,1.026308027E1
4.169875833E-1,1.817520447E0,5.200335846E0,8.377928009E0,1.002679167E1
4.270185833E-1,1.556463318E0,4.916376343E0,8.129893799E0,9.627487086E0
4.370505833E-1,1.566941528E0,4.842130737E0,8.079897766E0,9.549150943E0
4.470815833E-1,1.701960754E0,5.028792572E0,8.176147614E0,9.748580150E0
4.571135833E-1,1.843117218E0,5.273383942E0,8.193810883E0,9.916864225E0
4.671445834E-1,1.948198700E0,5.385500793E0,8.195906525E0,9.998598938E0
4.771765831E-1,2.060016174E0,5.345833282E0,8.222102051E0,1.002120563E1
4.872075832E-1,2.135159912E0,5.265001373E0,8.299940186E0,1.005823814E1
4.972385832E-1,2.211800537E0,5.251978455E0,8.404422913E0,1.015429288E1
5.072705832E-1,2.120640106E0,5.193300476E0,8.366102600E0,1.007269363E1
5.173015832E-1,2.003583527E0,5.112618256E0,8.316855011E0,9.966107046E0
5.273335832E-1,1.917662201E0,5.088967438E0,8.334368591E0,9.951719335E0
5.373645832E-1,1.821711731E0,5.115013275E0,8.249794464E0,9.876289948E0
5.473955832E-1,1.791624298E0,5.166057129E0,8.111631775E0,9.782465637E0
5.574275833E-1,1.791773987E0,5.254672852E0,7.971074066E0,9.713910776E0
5.674585833E-1,1.834285583E0,5.382806396E0,7.855813751E0,9.698093524E0
5.774905833E-1,1.898502045E0,5.477110291E0,7.816744995E0,9.731626250E0
5.875215833E-1,1.940265198E0,5.537135468E0,7.882757721E0,9.826615262E0
5.975535833E-1,1.979633331E0,5.545068970E0,7.870632935E0,9.829221780E0
6.075845833E-1,1.975292358E0,5.517975311E0,7.826774139E0,9.777945841E0
6.176155834E-1,1.930834808E0,5.503455505E0,7.893834686E0,9.814722187E0
6.276475831E-1,1.932481384E0,5.478008423E0,8.006250916E0,9.891567839E0
6.376785832E-1,1.967358856E0,5.357059937E0,8.059240723E0,9.875219140E0
6.477105832E-1,2.125430145E0,5.274581451E0,8.152347107E0,9.939790045E0
6.577415832E-1,2.237397308E0,5.296735382E0,8.297994232E0,1.009544752E1
6.677735832E-1,2.275418243E0,5.295388184E0,8.375383301E0,1.016689282E1
6.778045832E-1,2.272125092E0,5.269492035E0,8.352630615E0,1.013392998E1
6.878355832E-1,2.171534271E0,5.220693512E0,8.256081390E0,1.000670184E1
6.978675833E-1,2.104773102E0,5.201832733E0,8.223299561E0,9.955490408E0
7.078985833E-1,2.075284424E0,5.324727173E0,8.246800690E0,1.003340653E1
7.179305833E-1,2.005978546E0,5.483995972E0,8.310867462E0,1.015719842E1
7.279615833E-1,1.913770294E0,5.553152161E0,8.295000458E0,1.016400749E1
7.379935833E-1,1.830693054E0,5.525908813E0,8.186625824E0,1.004529480E1
7.480245833E-1,1.760489044E0,5.507048035E0,8.115224304E0,9.964123907E0
7.580555833E-1,1.747017059E0,5.518723755E0,8.042176208E0,9.908833365E0
7.680875831E-1,1.704206085E0,5.623056793E0,8.030949554E0,9.950841011E0
7.781185831E-1,1.682201843E0,5.767656097E0,8.158933411E0,1.013231732E1
7.881505832E-1,1.629212036E0,5.838009796E0,8.197852478E0,1.019516922E1
7.981815832E-1,1.581910400E0,5.703140259E0,8.091274109E0,1.002481751E1
8.082135832E-1,1.526824951E0,5.567671967E0,8.061336365E0,9.915407684E0
8.182445832E-1,1.516945496E0,5.526058502E0,8.079299011E0,9.905226838E0
8.282755832E-1,1.503922577E0,5.448370056E0,8.006550293E0,9.800579931E0
8.383075832E-1,1.468895416E0,5.324727173E0,7.829618225E0,9.581925420E0
8.483385833E-1,1.433718567E0,5.275629272E0,7.688761139E0,9.434238761E0
8.583705833E-1,1.409169617E0,5.306465149E0,7.568860474E0,9.350506952E0
8.684015833E-1,1.388063507E0,5.295837250E0,7.411986694E0,9.214670869E0
8.784325833E-1,1.461410980E0,5.219645691E0,7.265591125E0,9.064724905E0
8.884645833E-1,1.558708649E0,5.159470825E0,7.226073303E0,9.014757192E0
8.984955833E-1,1.618135071E0,5.189408569E0,7.281607819E0,9.086811037E0
9.085275833E-1,1.636995850E0,5.262905731E0,7.317982178E0,9.161375186E0
9.185585831E-1,1.641785889E0,5.290747833E0,7.348668365E0,9.202738738E0
9.285905831E-1,1.662592621E0,5.262157288E0,7.381599884E0,9.216427203E0
9.386215832E-1,1.652264099E0,5.188959503E0,7.386240234E0,9.176699961E0
9.486525832E-1,1.633553009E0,5.087470551E0,7.328909454E0,9.069937476E0
9.586845832E-1,1.663790131E0,4.978048096E0,7.219636688E0,8.925934929E0
9.687155832E-1,1.765877838E0,4.973557434E0,7.294331360E0,9.003436459E0
9.787475832E-1,1.915117493E0,5.021158447E0,7.477999420E0,9.208701455E0
9.887785832E-1,2.097887421E0,5.058281250E0,7.689210205E0,9.439877881E0
9.988105833E-1,2.275867310E0,5.047653351E0,7.859855347E0,9.614348778E0
1.008841583E0,2.407743073E0,4.978796539E0,8.023764496E0,9.745072517E0
1.018872583E0,2.454595642E0,4.873565369E0,8.175399170E0,9.829233478E0
1.028904583E0,2.543211365E0,4.722978516E0,8.351732483E0,9.926020631E0
1.038935583E0,2.686463470E0,4.581372986E0,8.596024475E0,1.010434071E1
1.048967583E0,2.806214447E0,4.463717651E0,8.817414093E0,1.027357806E1
1.058998583E0,2.869981842E0,4.338577881E0,9.055868225E0,1.044360106E1
1.069030583E0,2.866089935E0,4.215384064E0,9.340576172E0,1.064097258E1
1.079061583E0,2.791245575E0,4.111500092E0,9.652527466E0,1.085664641E1
1.089092583E0,2.688409424E0,3.935615845E0,9.861792297E0,1.095315318E1
1.099124583E0,2.592758331E0,3.751498718E0,9.967322845E0,1.096100648E1
1.109155583E0,2.521057434E0,3.592080231E0,9.993518372E0,1.091463148E1
1.119187583E0,2.500250702E0,3.468137970E0,9.917775879E0,1.080007004E1
1.129218583E0,2.480342102E0,3.347788239E0,9.799521790E0,1.064849334E1
1.139250583E0,2.434237976E0,3.255280609E0,9.697733459E0,1.051515100E1
1.149281583E0,2.329904938E0,3.257975006E0,9.613009644E0,1.041406801E1
1.159312583E0,2.183808746E0,3.407514038E0,9.575737152E0,1.039590855E1
1.169344583E0,2.009271698E0,3.554208984E0,9.520651703E0,1.035916904E1
1.179375583E0,1.865271149E0,3.645219727E0,9.425749054E0,1.027675087E1
1.189407583E0,1.782942352E0,3.644620972E0,9.294921112E0,1.014187872E1
1.199438292E0,1.743574219E0,3.526965637E0,9.218879242E0,1.002333638E1
1.209469292E0,1.759291534E0,3.427722015E0,9.211843872E0,9.985111539E0
1.219501292E0,1.815275116E0,3.391048279E0,9.342073059E0,1.010290855E1
1.229532292E0,1.832189941E0,3.332220612E0,9.485025787E0,1.021892012E1
1.239564292E0,1.795516205E0,3.231180725E0,9.591304779E0,1.027898510E1
1.249595292E0,1.609004059E0,3.184627533E0,9.703421631E0,1.033862360E1
1.259627291E0,1.399140472E0,3.156635742E0,9.735455017E0,1.032961895E1
1.269658291E0,1.273851013E0,3.145109711E0,9.685908051E0,1.026310023E1
1.279689291E0,1.231189728E0,3.151097260E0,9.585017853E0,1.016453685E1
1.289721292E0,1.268312531E0,3.175945587E0,9.536219330E0,1.013087983E1
1.299752292E0,1.304088135E0,3.253334656E0,9.525142365E0,1.014954035E1
1.309784292E0,1.304986267E0,3.305576019E0,9.484277344E0,1.012824460E1
1.319815292E0,1.208736420E0,3.342848511E0,9.511221313E0,1.015376830E1
1.329847292E0,1.050365753E0,3.366349640E0,9.518556061E0,1.015078754E1
1.339878292E0,9.538165283E-1,3.342249756E0,9.455836487E0,1.007438549E1
1.349909292E0,9.059161377E-1,3.293451233E0,9.407786407E0,1.000869373E1
1.359941292E0,9.319619751E-1,3.323688354E0,9.458081818E0,1.006830517E1
1.369972292E0,1.030457153E0,3.334765320E0,9.578730927E0,1.019483143E1
1.380004292E0,1.181642761E0,3.364253998E0,9.708511047E0,1.034261434E1
1.390035292E0,1.213825836E0,3.265160065E0,9.767189026E0,1.036979387E1
1.400066292E0,1.211879883E0,3.026256866E0,9.767338715E0,1.029697961E1
1.410098291E0,1.215622101E0,2.854414215E0,9.619146881E0,1.010709673E1
1.420129291E0,9.848020935E-1,2.733166351E0,9.324858856E0,9.766935351E0
1.430161292E0,8.485853577E-1,2.608775024E0,9.238039398E0,9.636761705E0
1.440192292E0,9.509724426E-1,2.554587708E0,9.446555786E0,9.831972496E0
1.450224292E0,1.056203613E0,2.760559387E0,9.400002594E0,9.853745631E0
1.460255292E0,1.342258759E0,3.304977264E0,9.134155426E0,9.805984328E0
1.470286292E0,8.506809998E-1,2.812351685E0,8.931177521E0,9.402069563E0
1.480318292E0,1.013692017E0,2.609673157E0,9.209149475E0,9.625299972E0
1.490349292E0,8.002359009E-1,2.563269653E0,9.265731812E0,9.646995118E0
1.500381292E0,5.378315735E-1,2.496209106E0,9.236243134E0,9.582719339E0
1.510412292E0,4.454736328E-1,2.449655914E0,9.190887451E0,9.522167453E0
1.520444292E0,4.191284180E-2,2.267185364E0,8.960366821E0,9.242838294E0
1.530475292E0,-5.016069031E-1,1.900597687E0,8.222251740E0,8.453952018E0
1.540506292E0,-6.477030945E-1,1.496138763E0,7.528294830E0,7.702802967E0
1.550538292E0,-5.066963196E-1,1.234333191E0,7.001540222E0,7.127544112E0
1.560569291E0,-1.050814819E-1,1.196911011E0,6.818470917E0,6.923523939E0
1.570601291E0,5.291496277E-1,1.567240906E0,7.870632935E0,8.042580816E0
1.580632292E0,8.707392883E-1,1.910626831E0,8.537496185E0,8.791900984E0
1.590663292E0,5.942642212E-1,2.164199524E0,8.926237793E0,9.204055122E0
1.600695292E0,5.164260864E-1,2.401156769E0,9.355994110E0,9.672997236E0
1.610726292E0,6.384223938E-1,2.405946808E0,9.876461792E0,1.018531594E1
1.620758292E0,-2.284249878E-1,2.286046143E0,1.061622345E1,1.086196968E1
1.630789292E0,-6.358776855E-1,1.862726440E0,1.098939743E1,1.116427096E1
1.640821292E0,-3.338058472E-2,1.089284821E0,1.052940399E1,1.058565086E1
1.650852292E0,3.951782227E-1,6.156697083E-1,1.020442978E1,1.023062081E1
1.660883292E0,2.093396759E0,5.831872559E-1,1.172915909E1,1.192877153E1
1.670915292E0,6.919959869E0,1.866468658E0,1.238329880E1,1.430788730E1
1.680946292E0,4.854854279E0,3.284020844E0,9.076674957E0,1.080464859E1
1.690978292E0,1.592837677E0,3.084186401E0,5.603148193E0,6.591252332E0
1.701009292E0,2.976410522E0,3.160078583E0,7.128625946E0,8.346401867E0
1.711041291E0,3.314856720E0,4.206851807E0,9.328002319E0,1.075627744E1
1.721072291E0,1.998943176E0,5.257067871E0,7.788004761E0,9.606537075E0
1.731103292E0,9.229806519E-1,5.596112823E0,3.107986908E0,6.467453489E0
1.741135292E0,8.940907288E-1,4.607718201E0,1.075363770E0,4.815274913E0
1.751166292E0,2.412682800E0,4.797074432E0,2.383194122E0,5.874740473E0
1.761198292E0,4.144730988E0,6.945856018E0,5.823939056E0,9.967044543E0
1.771229292E0,2.930007019E0,6.207740936E0,9.412726135E0,1.164990996E1
1.781261292E0,-8.981323242E-4,2.925216980E0,1.169832321E1,1.205850991E1
1.791292292E0,-1.259480896E0,1.453776855E0,1.281979111E1,1.296328675E1
1.801323292E0,-9.601034546E-1,1.962269440E0,1.268402344E1,1.287077117E1
1.811355292E0,2.805166626E-1,3.008892975E0,1.246383133E1,1.282494514E1
1.821386292E0,9.988728333E-1,3.754193115E0,1.181867294E1,1.244076939E1
